id,nif,nombre,tipo,sector_cnae
1230,W24823261,Pablo Arévalo Valverde S.Com.,SANA,Construccion
1231,Q44863921,Murillo y Fuentes S.Coop.,SANA,Comercio
1232,D16406597,Alimentación Inteligentes S.A.,FRAUDE_CARRUSEL,Construccion
1233,U49991663,Hotel Carreño S.A.,SANA,Construccion
1234,U55497164,Santamaría & Asociados S.L.U.,SANA,Tecnologia
1235,H57021454,Raúl Gual Rocha S.A.T.,SANA,Comercio
1236,N99512805,Rosalina Lledó Barrena S.A.,SANA,Tecnologia
1237,R79748476,Martirio Tamayo Pujol S.A.,SANA,Tecnologia
1238,D54002874,Apolinar Pol Cueto S.L.L.,SANA,Tecnologia
1239,Q70976401,Gomis & Asociados S.Coop.,SANA,Construccion
1240,E67135430,Familia Chaves S.C.P,SANA,Transporte
1241,C22381399,Hermanos Solsona S.A.,SANA,Construccion
1242,S27456803,Roura & Asociados S.Coop.,SANA,Transporte
1243,G69883130,Comercializadora MLA S.L.N.E,SANA,Construccion
1244,Q80632831,Hermanos Alonso S.L.N.E,SANA,Transporte
1245,W62986806,Desarrollo Capdevila y asociados S.Coop.,SANA,Comercio
1246,V95424369,Gras & Asociados S.Com.,SANA,Transporte
1247,U75705089,Grupo Estévez S.Com.,SANA,Transporte
1248,F29373816,Infraestructuras Perales & Asociados S.L.,SANA,Tecnologia
1249,V71433172,Victoriano Baños Carbó S.L.U.,SANA,Tecnologia
1250,W81020117,Tomé y asociados S.Com.,SANA,Construccion
1251,G71127098,Instalaciones Vigil S.L.,SANA,Transporte
1252,B31050667,Lázaro Hernandez Palacios S.L.L.,SANA,Comercio
1253,D90745413,Finanzas Madrigal y asociados S.Coop.,SANA,Transporte
1254,D26222417,Ribes y Gordillo S.Com.,SANA,Comercio
1255,N15406577,Banca Privada GA S.L.,SANA,Tecnologia
1256,D59857504,Supermercados Castellana S.L.,SANA,Comercio
1257,Q50702879,Gilabert y Clavero S.A.,SANA,Comercio
1258,V13755114,Hotel Gordillo y asociados S.L.U.,SANA,Tecnologia
1259,E89138026,Pilar Monreal Tejera S.L.L.,SANA,Transporte
1260,B50958413,Hnos Vázquez S.Coop.,SANA,Comercio
1261,G34572196,Infraestructuras Salcedo & Asociados S.L.N.E,SANA,Transporte
1262,A26418573,Fanny Llopis Zapata S.Com.,SANA,Comercio
1263,C15997180,Oliva y Aroca S.A.,FRAUDE_MAQUILLAJE,Transporte
1264,V86914689,Eliana Infante Lobo S.Com.,SANA,Comercio
1265,U55341868,Talleres Nicolás & Asociados S.L.,SANA,Transporte
1266,V91296981,Tejedor y asociados S.L.,SANA,Tecnologia
1267,E77748258,Comercial KG S.Coop.,SANA,Transporte
1268,U99552852,Gutierrez y Alvarez S.L.,SANA,Transporte
1269,E53649791,Octavia Carnero Gallart S.A.U,SANA,Construccion
1270,S61973818,Nuñez y Martorell S.L.,SANA,Tecnologia
1271,R55499525,Manufacturas Globales S.L.N.E,SANA,Construccion
1272,U47228655,Distribuciones QWS S.Com.,SANA,Construccion
1273,F13329148,Grupo Parra S.Com.,SANA,Comercio
1274,D96424699,Promociones Coloma S.Coop.,SANA,Construccion
1275,G93041052,Jordán Marí Escrivá S.L.N.E,SANA,Construccion
1276,W35420283,Hotel Romero S.L.,SANA,Transporte
1277,W12505049,Industrias UMD S.A.,FRAUDE_CARRUSEL,Construccion
1278,F12546591,Celestina Escribano Valenciano S.Coop.,FRAUDE_CARRUSEL,Comercio
1279,G42921822,Construcción HLTN S.L.L.,SANA,Transporte
1280,C81611045,Grupo Guillén S.Coop.,SANA,Comercio
1281,R89039884,Grupo Noguera S.L.N.E,SANA,Construccion
1282,V13122340,Despacho Barrios & Asociados S.A.T.,SANA,Comercio
1283,S34227374,Inversiones Galván S.Com.,SANA,Transporte
1284,A80853774,Tecnologías del Sur S.L.N.E,SANA,Comercio
1285,R44517819,Peña & Asociados S.Com.,SANA,Construccion
1286,D23332334,Inversiones CCYM S.L.N.E,SANA,Tecnologia
1287,N29331950,Desarrollo Pinilla y asociados S.Coop.,SANA,Tecnologia
1288,J22029742,Familia Llanos S.Coop.,SANA,Tecnologia
1289,N64663717,Servicios Oliva & Asociados S.L.,SANA,Tecnologia
1290,B92473495,Construcción Tejera & Asociados S.L.,SANA,Comercio
1291,F13646855,Hnos Valentín S.A.,SANA,Construccion
1292,N62336822,Batlle y asociados S.A.,SANA,Construccion
1293,P29120731,Nogueira y Bonet S.Com.,SANA,Transporte
1294,P44619354,Despacho Española S.L.N.E,FRAUDE_CARRUSEL,Transporte
1295,D16962963,Restauración Española S.Com.,SANA,Tecnologia
1296,H90128603,Inmobiliaria Villar & Asociados S.L.L.,SANA,Tecnologia
1297,V78265991,Minería VJ S.A.,SANA,Transporte
1298,D46143160,Comercializadora Zurita y asociados S.Com.,FRAUDE_CARRUSEL,Construccion
1299,P72387558,Talleres Iberia S.Com.,SANA,Transporte
1300,C74984400,Hnos Campo S.A.U,SANA,Construccion
1301,S95032473,Hnos Franch S.A.,SANA,Tecnologia
1302,A46126008,Restauración BWIM S.A.,SANA,Construccion
1303,H84451573,Atienza y Abril S.L.N.E,SANA,Tecnologia
1304,N86268638,Olivares y Montes S.Com.,SANA,Transporte
1305,U21261988,Viviana Naranjo Soriano S.Coop.,SANA,Tecnologia
1306,E60104178,Logística TMII S.A.,SANA,Tecnologia
1307,H82146810,Servicios KPAY S.L.,SANA,Transporte
1308,U15609238,Felipa Quevedo Iriarte S.L.,SANA,Construccion
1309,U93312959,Gimeno y Cerdá S.L.L.,SANA,Comercio
1310,F10072871,Desarrollo CN S.Coop.,SANA,Construccion
1311,V46682099,Soluciones Mir S.Coop.,SANA,Comercio
1312,R57166514,Garriga y Ferrández S.C.P,SANA,Tecnologia
1313,W47756962,Despacho HCS S.L.,SANA,Construccion
1314,F81684250,Martinez y asociados S.L.,SANA,Construccion
1315,N22041357,Barrena & Asociados S.L.N.E,SANA,Transporte
1316,D28743541,Construcción Molina & Asociados S.Com.,SANA,Comercio
1317,S38299831,Ávila y Quirós S.L.,SANA,Comercio
1318,P95251058,Inmobiliaria del Levante S.A.,SANA,Comercio
1319,U46643203,Rosenda Alvarez Escobar S.A.,SANA,Tecnologia
1320,P55852776,Edelmiro Cornejo Pinto S.A.,SANA,Tecnologia
1321,U90465362,Compañía Viña & Asociados S.A.U,SANA,Comercio
1322,A27948365,Minería NT S.A.,FRAUDE_CARRUSEL,Construccion
1323,V10574350,Palomares y Carbajo S.L.,SANA,Construccion
1324,F65453803,Grupo Benet S.A.T.,SANA,Transporte
1325,R82226781,Visitación Toledo Vicens S.L.L.,SANA,Construccion
1326,C82296289,Transportes EN S.L.,SANA,Construccion
1327,U26564560,Construcción Barros y asociados S.L.N.E,SANA,Comercio
1328,R90706579,Finanzas Zurita S.L.N.E,SANA,Comercio
1329,R33781587,Banco Alvarado S.Coop.,SANA,Construccion
1330,D72101540,Inversiones Inteligentes S.A.,SANA,Comercio
1331,G69670203,Banco HGPZ S.Com.,SANA,Construccion
1332,H12655050,Maldonado y asociados S.Com.,SANA,Comercio
1333,Q35704262,Consultoría Larrañaga S.L.N.E,FRAUDE_MAQUILLAJE,Construccion
1334,N39681939,Logística Globales S.Coop.,SANA,Tecnologia
1335,V58720925,Inversiones Ibérica S.L.L.,SANA,Construccion
1336,J76147579,Servicios OF S.Com.,SANA,Tecnologia
1337,A36318323,Inmobiliaria Ibérica S.Com.,SANA,Transporte
1338,D47224958,Compañía Flor & Asociados S.Coop.,SANA,Transporte
1339,F84059354,Hermanos Jaén S.L.,SANA,Tecnologia
1340,F18772554,Transportes WACT S.L.,SANA,Tecnologia
1341,C27103487,López & Asociados S.A.U,SANA,Comercio
1342,H80206603,Tecnologías SBP S.Com.,SANA,Comercio
1343,G13102778,Fábrica Blanca S.L.,SANA,Comercio
1344,U10262390,Rafa Salgado Briones S.A.T.,SANA,Transporte
1345,B53352227,Consultoría Coloma & Asociados S.L.N.E,SANA,Transporte
1346,S46780435,Fábrica Española S.A.D,FRAUDE_MAQUILLAJE,Construccion
1347,W72624210,Pol & Asociados S.L.,SANA,Transporte
1348,Q79425047,Rosselló y asociados S.L.L.,SANA,Construccion
1349,H16303488,Bermúdez & Asociados S.Coop.,SANA,Comercio
1350,S81458898,Gras & Asociados S.L.N.E,SANA,Transporte
1351,P10692467,Calvo & Asociados S.A.,SANA,Transporte
1352,G54923454,Emelina Sanmartín Huerta S.Coop.,SANA,Construccion
1353,A40283277,Distribuciones Solano S.L.N.E,SANA,Transporte
1354,C43552306,Graciano Lago Coca S.L.,SANA,Tecnologia
1355,F54187782,Grupo Cuadrado S.Com.,SANA,Comercio
1356,C94019584,Industrias del Mediterráneo S.Com.,SANA,Construccion
1357,A74420002,Logística OEW S.Com.,SANA,Transporte
1358,A89528133,Despacho García y asociados S.Coop.,SANA,Comercio
1359,J43172390,Talleres Requena & Asociados S.Com.,FRAUDE_MAQUILLAJE,Construccion
1360,V41992031,Segovia y Palomo S.A.,SANA,Comercio
1361,B54773484,Industrias Internacionales S.L.L.,SANA,Tecnologia
1362,C90525899,Nieves Pozuelo Mármol S.Coop.,FRAUDE_MAQUILLAJE,Transporte
1363,D93932889,Castro y asociados S.Com.,SANA,Transporte
1364,D21480272,Restauración Sedano S.L.,SANA,Construccion
1365,B60653117,Eva Canet Sáez S.A.,SANA,Comercio
1366,C27117564,Garay y Bellido S.L.N.E,SANA,Construccion
1367,U17353632,Restauración Carmona y asociados S.A.,SANA,Comercio
1368,S18830219,Alimentación Checa S.L.L.,SANA,Construccion
1369,B85062345,Distribuciones WYT S.L.,SANA,Construccion
1370,N61198088,Jose Francisco Juan Iniesta S.L.L.,SANA,Transporte
1371,D92852868,Sancho & Asociados S.A.,SANA,Transporte
1372,H90473708,Hnos Coronado S.Coop.,SANA,Construccion
1373,U61528873,Minería Palacio S.Coop.,SANA,Transporte
1374,S93243271,Agudo y asociados S.L.,FRAUDE_MAQUILLAJE,Construccion
1375,P97365194,Llamas y Galán S.Com.,SANA,Construccion
1376,U79419139,Becerra y Redondo S.Coop.,SANA,Comercio
1377,G24496399,Alimentación SB S.L.,SANA,Construccion
1378,A89883050,Segismundo Juan Aragonés S.Com.,SANA,Construccion
1379,G86935230,Duilio Peña Zurita S.L.,SANA,Tecnologia
1380,W44398138,Feliu y Aznar S.A.,SANA,Comercio
1381,S74612320,Distribuciones del Sur S.Com.,FRAUDE_CARRUSEL,Transporte
1382,F42635373,Rico Nebot Salas S.L.,SANA,Tecnologia
1383,B18118989,Vera y Cerezo S.A.T.,SANA,Tecnologia
1384,N88453254,Alfaro & Asociados S.Coop.,SANA,Transporte
1385,W97470361,Minería Zabaleta S.A.T.,SANA,Comercio
1386,N88338313,Villalobos y asociados S.A.,SANA,Tecnologia
1387,E73018412,Estrada y asociados S.L.L.,SANA,Comercio
1388,P49065941,Promociones TWMR S.A.,SANA,Comercio
1389,A79481912,Transportes DDD S.Com.,SANA,Tecnologia
1390,B41861591,Valenciano y Roldan S.L.,SANA,Construccion
1391,S56146216,Soluciones Soler S.L.N.E,SANA,Tecnologia
1392,G95973808,Primitiva Blanch Plana S.Coop.,SANA,Tecnologia
1393,C55842323,Hermanos Vall S.Coop.,SANA,Tecnologia
1394,V72733686,Pablo Rivero Mariscal S.Com.,SANA,Comercio
1395,P92691963,Costa & Asociados S.Coop.,SANA,Comercio
1396,S54106502,Farmaceútica Ibérica S.Coop.,SANA,Tecnologia
1397,D70975394,Comercializadora Globales S.Coop.,FRAUDE_CARRUSEL,Construccion
1398,V39448158,Grupo Hoyos S.L.U.,SANA,Construccion
1399,H40906854,Carbajo y Guillen S.Coop.,FRAUDE_CARRUSEL,Transporte
1400,G42080592,Construcción NFF S.A.,SANA,Transporte
1401,P60454028,Company y Fuentes S.C.P,SANA,Tecnologia
1402,R34728879,Servicios Olmo S.Coop.,SANA,Construccion
1403,Q11327694,Suministros RMRF S.Coop.,SANA,Construccion
1404,Q14028892,Inversiones Arcos & Asociados S.A.T.,SANA,Construccion
1405,E49000479,Infraestructuras Machado & Asociados S.Coop.,SANA,Transporte
1406,G94736292,Amor Quesada Alemany S.Com.,SANA,Comercio
1407,B13984330,Grupo Domínguez S.L.,SANA,Tecnologia
1408,G48131375,Finanzas Sotelo S.Com.,SANA,Tecnologia
1409,H45164890,Supermercados Avanzadas S.L.,SANA,Tecnologia
1410,P84424395,Comercial WTX S.L.,SANA,Tecnologia
1411,F36305005,Promociones Viña S.Coop.,SANA,Construccion
1412,F45136671,Compañía Azorin S.A.,FRAUDE_CARRUSEL,Construccion
1413,A28420515,Isabel Lledó Almazán S.A.,SANA,Transporte
1414,D55417034,Lisandro Solsona Baeza S.A.,SANA,Tecnologia
1415,N71230621,Osorio y Sabater S.A.,SANA,Tecnologia
1416,Q59976005,Eustaquio Céspedes Suarez S.L.L.,SANA,Tecnologia
1417,W93644995,María Pilar Arteaga Puente S.Coop.,SANA,Transporte
1418,C25903904,Transportes Morera & Asociados S.L.N.E,FRAUDE_MAQUILLAJE,Tecnologia
1419,E35453201,Inmobiliaria Collado & Asociados S.L.,SANA,Tecnologia
1420,R60231696,Logística Ibéricos S.A.,SANA,Comercio
1421,S95381661,Tamara Ocaña Cervera S.Com.,SANA,Tecnologia
1422,B92681879,Familia Sevilla S.Com.,SANA,Tecnologia
1423,N29940314,Industrias del Mediterráneo S.Com.,FRAUDE_MAQUILLAJE,Comercio
1424,H17148298,Mir y Sebastián S.L.,SANA,Comercio
1425,E78218774,Grupo Egea S.L.N.E,SANA,Transporte
1426,G20926356,Banca Privada del Noroeste S.Com.,SANA,Transporte
1427,C32472549,María Serna Zabala S.L.U.,SANA,Transporte
1428,W60233144,Alvarez y asociados S.A.T.,SANA,Transporte
1429,W72312899,Construcción LYHM S.L.N.E,SANA,Tecnologia
1430,P60181152,Industrias Sotelo & Asociados S.L.U.,FRAUDE_MAQUILLAJE,Transporte
1431,V73586743,Logística Avanzadas S.L.N.E,SANA,Comercio
1432,R95645083,Fábrica Pla S.Com.,SANA,Construccion
1433,G39464318,Aparicio y asociados S.Coop.,SANA,Tecnologia
1434,U41458567,Burgos & Asociados S.A.,SANA,Transporte
1435,G51070495,Hotel del Norte S.C.P,SANA,Transporte
1436,R86688035,Minería Canals & Asociados S.L.,SANA,Tecnologia
1437,Q44162336,Fábrica Españolas S.Coop.,SANA,Construccion
1438,E21278067,Manu Blanes Lerma S.Coop.,FRAUDE_CARRUSEL,Comercio
1439,U79634938,Galiano y asociados S.L.N.E,SANA,Comercio
1440,H88378083,Tecnologías Ariño S.Coop.,SANA,Construccion
1441,U78754653,Comercializadora Internacionales S.L.,FRAUDE_MAQUILLAJE,Comercio
1442,S70552489,Hnos Cortes S.Coop.,SANA,Transporte
1443,S64888712,Hermanos Madrid S.Com.,SANA,Comercio
1444,V52549761,Supermercados Inteligentes S.Coop.,SANA,Comercio
1445,R13317620,Curro Chamorro Ribera S.A.,SANA,Tecnologia
1446,U41378816,Servicios Miralles y asociados S.Coop.,SANA,Comercio
1447,C58196637,Nayara Valverde Marquez S.L.N.E,SANA,Construccion
1448,N77345747,Pablo Saez Asensio S.A.,SANA,Construccion
1449,J40566959,Soriano y Rosales S.L.,SANA,Construccion
1450,D19576257,Aparicio & Asociados S.A.,SANA,Comercio
1451,B83286377,Comercializadora Villalonga & Asociados S.A.,SANA,Tecnologia
1452,P36393422,Transportes Bauzà & Asociados S.Com.,SANA,Comercio
1453,J50629797,Ainoa Carmona Oliveras S.Coop.,FRAUDE_MAQUILLAJE,Comercio
1454,G91072076,Construcción Española S.Coop.,SANA,Tecnologia
1455,J11145397,Hnos Sanchez S.L.N.E,SANA,Comercio
1456,N56524207,Azorin & Asociados S.L.N.E,SANA,Transporte
1457,R87840078,Cueto y asociados S.L.N.E,SANA,Construccion
1458,V97790612,Supermercados UUV S.L.,SANA,Tecnologia
1459,R40545068,Ester Mate Marqués S.Com.,SANA,Tecnologia
1460,G73678024,Grupo Lluch S.Coop.,SANA,Tecnologia
1461,W88786294,Tere Duran Arregui S.A.,SANA,Transporte
1462,U55722553,Alimentación del Mediterráneo S.Coop.,SANA,Construccion
1463,P35212337,Amancio Morera Prada S.L.,SANA,Transporte
1464,S38129989,Crespo y asociados S.L.N.E,SANA,Transporte
1465,U84953463,Diego y Feliu S.L.,SANA,Construccion
1466,Q28649583,Ruiz y asociados S.A.,SANA,Tecnologia
1467,N11299382,Almudena Baena Milla S.L.,SANA,Transporte
1468,Q55610169,Lázaro Ropero Moliner S.L.,SANA,Tecnologia
1469,S67139083,Bastida y Barceló S.L.,SANA,Transporte
1470,N53765651,Transportes Botella & Asociados S.Com.,SANA,Construccion
1471,B28674348,Promociones IBI S.Coop.,SANA,Tecnologia
1472,P86261289,Promociones del Noroeste S.L.,SANA,Transporte
1473,R37407879,Vergara & Asociados S.L.,SANA,Transporte
1474,C81738111,Baeza & Asociados S.L.N.E,FRAUDE_CARRUSEL,Transporte
1475,G73723578,Supermercados Plana y asociados S.Com.,SANA,Construccion
1476,P86439010,Familia Perea S.Com.,SANA,Transporte
1477,N22514663,Grupo Adán S.Com.,SANA,Tecnologia
1478,D84209891,Naranjo & Asociados S.Coop.,SANA,Tecnologia
1479,B90982133,Chema Ayllón Rosado S.A.,SANA,Transporte
1480,A35057390,Banco KEAD S.A.,SANA,Tecnologia
1481,C61793831,Múñiz y Tejada S.Com.,SANA,Comercio
1482,G41278022,Supermercados del Norte S.Coop.,SANA,Comercio
1483,W19392480,Blazquez y Bermudez S.C.P,SANA,Transporte
1484,B59479669,Quiroga y Bayón S.Coop.,FRAUDE_MAQUILLAJE,Construccion
1485,F53858604,Promociones del Mediterráneo S.C.P,SANA,Transporte
1486,R31076941,Construcción Baeza S.Coop.,SANA,Construccion
1487,E82001505,Construcción del Levante S.L.N.E,SANA,Transporte
1488,V19229212,Finanzas OL S.A.,SANA,Transporte
1489,G27439215,Tejada & Asociados S.L.U.,SANA,Tecnologia
1490,N68008992,Sáez & Asociados S.A.,SANA,Transporte
1491,F91028510,Industrias Codina S.L.,SANA,Comercio
1492,G77441055,Familia Medina S.C.P,SANA,Transporte
1493,J37072082,Inversiones Maestre S.Com.,SANA,Construccion
1494,E69825080,Familia Bermejo S.Coop.,SANA,Construccion
1495,R91181404,Servicios Inteligentes S.L.,SANA,Tecnologia
1496,W54143064,Hermanos Clemente S.Coop.,SANA,Transporte
1497,U72101932,Minería Ibérica S.L.,SANA,Construccion
1498,C48642865,Sabater & Asociados S.L.N.E,SANA,Transporte
1499,Q49922892,Piquer y asociados S.A.,SANA,Transporte
1500,F65707438,Despacho Aguilera & Asociados S.Coop.,FRAUDE_MAQUILLAJE,Tecnologia
1501,F92911191,Pelayo Leal Esteban S.L.N.E,FRAUDE_CARRUSEL,Transporte
1502,U61628861,Supermercados AY S.L.N.E,SANA,Tecnologia
1503,D62821563,Comercial Ibéricos S.Coop.,SANA,Construccion
1504,H31197304,Gallardo y Murcia S.L.,FRAUDE_MAQUILLAJE,Comercio
1505,N99477179,Noguera y Sáez S.L.L.,FRAUDE_MAQUILLAJE,Construccion
1506,G76234781,Roselló y Cuéllar S.Coop.,FRAUDE_MAQUILLAJE,Transporte
1507,D59490380,Palomar & Asociados S.L.,SANA,Construccion
1508,D77698729,Familia Almagro S.L.N.E,SANA,Comercio
1509,S70523603,Ulises Agudo Cerdán S.A.T.,SANA,Tecnologia
1510,J37833011,Inmobiliaria Españolas S.Com.,FRAUDE_MAQUILLAJE,Construccion
1511,U13586013,Tur y Mesa S.L.,SANA,Construccion
1512,U61157834,Leonel Salmerón Querol S.L.N.E,SANA,Comercio
1513,R36092407,Arroyo y asociados S.Coop.,SANA,Transporte
1514,B11441144,Grupo Arteaga S.L.N.E,SANA,Comercio
1515,D28318112,Hnos Quirós S.Coop.,SANA,Comercio
1516,U75063283,Riquelme y Lasa S.A.,FRAUDE_MAQUILLAJE,Transporte
1517,C21079489,Bueno y Mora S.L.,SANA,Tecnologia
1518,U28824809,Miguela Gárate Gual S.Com.,SANA,Transporte
1519,J31658249,Construcción Llano & Asociados S.Coop.,SANA,Tecnologia
1520,A91468625,Distribuciones Huertas S.Coop.,SANA,Construccion
1521,F49479427,Instalaciones Mir S.Com.,SANA,Construccion
1522,R32609429,Ayllón y asociados S.Com.,SANA,Construccion
1523,A46675298,Compañía Feliu S.L.,FRAUDE_CARRUSEL,Tecnologia
1524,U58061622,Marcio Vicente Franch S.C.P,FRAUDE_CARRUSEL,Tecnologia
1525,G14623108,Jonatan Escobar Lledó S.Coop.,SANA,Tecnologia
1526,U16409704,Banco Aliaga & Asociados S.Coop.,FRAUDE_CARRUSEL,Construccion
1527,R51382580,Guardiola & Asociados S.L.,SANA,Transporte
1528,B90289763,Maxi Jáuregui Rosselló S.L.,SANA,Construccion
1529,B60653170,Inmobiliaria Carranza y asociados S.A.T.,SANA,Tecnologia
1530,H60283960,Cervera y Poza S.L.N.E,SANA,Tecnologia
1531,G22265679,Instalaciones ETKD S.L.N.E,SANA,Construccion
1532,S13750602,Hernando y Torralba S.L.U.,SANA,Construccion
1533,P35790180,Supermercados Soriano S.A.T.,SANA,Construccion
1534,H22965862,Promociones Cervantes y asociados S.Coop.,SANA,Tecnologia
1535,F15907259,Ileana Catalán Fortuny S.A.,SANA,Transporte
1536,W24453078,Leopoldo Coca Gonzalo S.Com.,SANA,Comercio
1537,P85437626,Despacho Lozano S.Com.,SANA,Tecnologia
1538,G82706099,Banca Privada Rosselló S.A.,SANA,Transporte
1539,S26214033,Restauración Carrión S.Coop.,SANA,Tecnologia
1540,G24211686,Banco Maza & Asociados S.A.,SANA,Comercio
1541,P33303091,Izquierdo y Uriarte S.Com.,SANA,Construccion
1542,R97777422,Hnos Pedraza S.L.U.,SANA,Comercio
1543,A62235749,Despacho Burgos S.C.P,SANA,Tecnologia
1544,U39540811,Inmobiliaria Asenjo & Asociados S.C.P,SANA,Construccion
1545,J97234140,Jover y Bolaños S.L.,SANA,Comercio
1546,B19037049,Banca Privada DV S.A.D,SANA,Tecnologia
1547,S50471241,Hnos Macías S.L.,SANA,Transporte
1548,D81965066,Inversiones OGC S.C.P,SANA,Tecnologia
1549,J22716400,Garzón y asociados S.A.,SANA,Comercio
1550,R27841755,Infraestructuras OU S.L.N.E,SANA,Comercio
1551,F95275696,Íñigo Campo Cordero S.Coop.,FRAUDE_CARRUSEL,Comercio
1552,V19061506,Finanzas Somoza & Asociados S.L.N.E,SANA,Comercio
1553,A91675959,Bonet & Asociados S.Com.,SANA,Transporte
1554,R78588767,Martin y Zabaleta S.L.U.,SANA,Tecnologia
1555,W88848693,Tecnologías Pol S.A.,SANA,Construccion
1556,H12847211,Azahar Amor Cortina S.L.L.,SANA,Construccion
1557,N41728577,Consultoría Alcalá S.A.,SANA,Transporte
1558,H93183615,Remedios Peña Bermejo S.L.N.E,SANA,Construccion
1559,B28462384,Alimentación MY S.Com.,SANA,Comercio
1560,V49810955,Malena Fernández Macias S.L.L.,SANA,Tecnologia
1561,E60432035,Soluciones Ferrera y asociados S.L.,SANA,Tecnologia
1562,B41952404,Logística Aller S.L.,FRAUDE_MAQUILLAJE,Transporte
1563,P28021013,Gonzalez y Oller S.A.,SANA,Comercio
1564,P96382807,José Ángel Amores Fonseca S.A.,SANA,Construccion
1565,W65686049,Hermanos Alcolea S.L.N.E,SANA,Comercio
1566,A40737204,Consultoría Ibéricos S.L.N.E,SANA,Comercio
1567,P42514108,Infraestructuras Inteligentes S.L.,SANA,Tecnologia
1568,B99255596,Familia Olivé S.Com.,SANA,Tecnologia
1569,H91612860,Banca Privada Isern S.Coop.,SANA,Transporte
1570,W53169386,Vasco Sanchez Iriarte S.L.N.E,SANA,Tecnologia
1571,U94527978,Desarrollo Fuentes S.A.,SANA,Construccion
1572,C75987111,Gras y Aroca S.C.P,SANA,Construccion
1573,G16993664,Grupo Cerezo S.A.,SANA,Tecnologia
1574,G26852512,Comercial RJ S.L.,SANA,Construccion
1575,F89541539,Restauración UFMT S.A.,SANA,Tecnologia
1576,H78105370,Abad & Asociados S.C.P,SANA,Construccion
1577,S72689644,Victor Manuel Montesinos Galán S.L.U.,SANA,Comercio
1578,F36512868,Calderón y Cáceres S.L.,SANA,Tecnologia
1579,S33680772,Banco Sebastián S.Coop.,SANA,Tecnologia
1580,N48299416,Grupo Villegas S.A.,SANA,Transporte
1581,G46488536,Cuenca y Pedro S.L.U.,FRAUDE_MAQUILLAJE,Transporte
1582,C58262270,Ponce & Asociados S.L.U.,FRAUDE_MAQUILLAJE,Transporte
1583,R32517176,Morata y Cuervo S.Com.,FRAUDE_CARRUSEL,Transporte
1584,U66733465,Mas y Esteve S.L.,SANA,Transporte
1585,E74693042,Hnos Ferrándiz S.Com.,SANA,Construccion
1586,R67364292,Hermanos Grau S.Com.,SANA,Construccion
1587,N89884158,Morena Barranco Jurado S.A.,SANA,Tecnologia
1588,F44533110,Comercializadora Hierro y asociados S.Coop.,SANA,Transporte
1589,U51050127,Hotel Buendía y asociados S.A.,SANA,Transporte
1590,N60351362,Farmaceútica Carreño S.C.P,SANA,Transporte
1591,C54725929,Restauración QE S.A.,SANA,Tecnologia
1592,V36268523,Suministros del Mediterráneo S.L.N.E,SANA,Tecnologia
1593,G10561104,Industrias FKT S.Coop.,SANA,Construccion
1594,W60232033,Banca Privada Jordá y asociados S.A.,SANA,Transporte
1595,R65810437,Familia Arias S.L.,SANA,Transporte
1596,Q61544630,Banco Cabeza & Asociados S.Com.,SANA,Transporte
1597,N96040102,Hnos Zorrilla S.Com.,SANA,Construccion
1598,S15211257,Fortunato Pinedo Villegas S.A.,SANA,Construccion
1599,R85914700,Nevado y Baños S.L.,SANA,Tecnologia
1600,G68558918,Tena & Asociados S.L.,SANA,Comercio
1601,Q78398476,Hnos Guardiola S.A.,SANA,Transporte
1602,Q17744982,Hotel Lerma S.L.N.E,SANA,Transporte
1603,S43123836,Hotel Marí & Asociados S.Com.,SANA,Tecnologia
1604,V14631527,Grupo Bernal S.C.P,SANA,Comercio
1605,A99345471,Iniesta y Montserrat S.A.,SANA,Tecnologia
1606,J91260195,Construcción UK S.L.N.E,SANA,Transporte
1607,E44129962,Felicia Burgos Girón S.Coop.,FRAUDE_CARRUSEL,Tecnologia
1608,F11655896,Servicios Azorin & Asociados S.L.U.,SANA,Construccion
1609,C96489553,Grupo Tejera S.L.N.E,SANA,Transporte
1610,R88673120,Serrano y asociados S.Coop.,SANA,Construccion
1611,W35343427,Inversiones Hidalgo S.Com.,SANA,Transporte
1612,F67293719,Compañía NS S.L.,SANA,Comercio
1613,N77195678,Finanzas del Mediterráneo S.L.N.E,SANA,Transporte
1614,N65245223,Barco y Castells S.L.N.E,SANA,Construccion
1615,D95386667,Comas y asociados S.L.N.E,SANA,Comercio
1616,E46107432,Fábrica PF S.L.N.E,SANA,Tecnologia
1617,R51352528,Manufacturas HGBA S.A.,SANA,Construccion
1618,F75997979,Hnos Mendoza S.Com.,SANA,Construccion
1619,D19373966,Familia Morcillo S.L.,SANA,Transporte
1620,W65947629,Hnos Agullo S.Coop.,SANA,Comercio
1621,S32902142,Distribuciones Iberia S.A.T.,FRAUDE_MAQUILLAJE,Tecnologia
1622,Q35018189,Consultoría Soriano S.Com.,SANA,Tecnologia
1623,G75293067,Hnos Nicolás S.Com.,SANA,Tecnologia
1624,W24795927,Renato Alemán Múñiz S.L.,SANA,Transporte
1625,G34915916,Hotel Riera y asociados S.Coop.,SANA,Tecnologia
1626,B34525524,Restauración Globales S.L.L.,SANA,Tecnologia
1627,J64867187,Manufacturas Ochoa S.A.T.,SANA,Transporte
1628,D95420677,Sabina Iñiguez Bertrán S.L.N.E,SANA,Tecnologia
1629,C49342650,Peral y Montoya S.L.,SANA,Construccion
